,Link,Tweet,Tanggal,Like,Comment
43,https://twitter.com/sastrotingkir/status/1758057608056037867#m,"bukan ... jkw sudah tau posisi ganjar sangat lemah elektabilitasnya, makanya prabowo dengan mudah mengalahkannya.","Feb 15, 2024 · 9:16 AM UTC",0,0
44,https://twitter.com/Malika6027/status/1758057598774046808#m,Secara pak ganjar suaranya msh terbanyak di jateng trus dicurangi sm kpu utk menangkan gibran.. all out pdip usut tuntas kecurangan!!,"Feb 15, 2024 · 9:16 AM UTC",0,0
45,https://twitter.com/WahyuAlRiy76705/status/1758057590603567264#m,Anis 67% prabowo 16% ganjar 5 % dijumlah kagak nyambung.,"Feb 15, 2024 · 9:16 AM UTC",0,0
46,https://twitter.com/anhourr/status/1758057564695355621#m,makin mungkin kalo PDIP ataupun bu mega itu berdiri di atas 2 kaki. mereka tetep ada yg ngikutin keluarganya jkw sekaligus dapet suara tertinggi di kursi dpr. dengan pak ganjar yg jd korbannya. gua dr awal emg udh kasihan si sm pak ganjar,"Feb 15, 2024 · 9:16 AM UTC",0,0
47,https://twitter.com/JatimDkgGanjar/status/1758057550719934955#m,Mbeleh wedus 😁,"Feb 15, 2024 · 9:15 AM UTC",0,0
48,https://twitter.com/itsmypageyall/status/1758006809233965292#m,"-- 1/2/3 terlibat semua sama prabowo. Anies pernah di support jd gubernur, ganjar pernah jd timses mega-bowo. Saat mengambil keuntungan dari prabowo gaada yg teriak2 HAM, munafik!   Kami jg punya alesan milih prabowo, katanya demokrasi tapi menghargai pilihan org lain aja SUSAH??","Feb 15, 2024 · 5:54 AM UTC",2,1
49,https://twitter.com/Yus_197/status/1758057531870691735#m,Iya ini harus mereka lakukan utk ngunci Anies dan Ganjar.  Supaya TDK terjadi putaran ke 2. Knp mrk awal ksh aklamasi 1 putaran. Ini lah dia alasannya skrg terjadi.,"Feb 15, 2024 · 9:15 AM UTC",0,0
50,https://twitter.com/adnanalkadly/status/1758057526929801592#m,"gerindra, pan, golkar, demokrat vs pdip, pks, pkb, nasdem. yes kita butuh stabilitas, 2029 duetin anies ganjar lawan gibran dengan siapapun itu, kita putus dinasti doi","Feb 15, 2024 · 9:15 AM UTC",0,0
51,https://twitter.com/geloraco/status/1757763430378009068#m,Timnas Amin dan TPN Ganjar-Mahfud Sepakat Bakal Gugat Kecurangan Pemilu https://www.gelora.co/2024/02/timnas-amin-dan-tpn-ganjar-mahfud.html,"Feb 14, 2024 · 1:47 PM UTC",9437,227
52,https://twitter.com/KompasTV/status/1758051672319005069#m,"Anies, Prabowo dan Ganjar Tanggapi Hasil Hitung Cepat Pemilu 2024 dlvr.it/T2mpzg","Feb 15, 2024 · 8:52 AM UTC",2,0
53,https://twitter.com/cudble/status/1757958688877453318#m,"“anies kalah😜 ganjar kalah 🤪”  it was never a matter of winning or losing, i don’t give a fuck who’s who.  it’s about SIAPA yang bisa memberikan perubahan progresif demi masa depan generasi bangsa dan SIAPA yang incapable of doing so.  i don’t understand why this idea is so difficult for some people to grasp.","Feb 15, 2024 · 2:43 AM UTC",3234,6
